,angleRotated,color,length,logWidthLengthRatio,x,y,centerX,centerY,width,lengthRotatedProjectX,widthRotatedProjectX,lengthRotatedProjectY,widthRotatedProjectY,vertexRightBottom,vertexRightTop,vertexLeftBottom,vertexLeftTop
0,2.0550689908689086,0.5982226536764462,48.641473913390215,-0.4462126058302618,28.34687781511275,33.16873120932707,30,30,31.13286251675671,-22.645757116729158,27.55301312157691,43.04837591683491,-14.494364298218994,"(30, 61)","(3, 47)","(53, 18)","(25, 4)"
1,2.1235956376979566,0.7522343025528999,33.47226980974521,-0.645868966344612,35.653624018093154,92.56652343695536,30,90,17.546392317483722,-17.575340242155313,14.93299789793672,28.48684365788629,-9.213113324998737,"(34, 111)","(19, 102)","(51, 82)","(36, 73)"
2,1.745058403792931,0.49674588869136604,22.6585431530614,-0.6774842920056036,32.05269675170851,147.31561990826935,30,150,11.508117661498625,-3.9285707924215743,11.333824333119338,22.315373833930675,-1.9952939875839268,"(35, 159)","(24, 157)","(39, 137)","(28, 135)"
3,2.1766914744659713,0.747591781150424,36.609967111276454,-0.8129043613062943,28.034435570695788,207.58426440834026,30,210,16.239006674050838,-20.849307045045794,13.348344001429272,30.093123593773832,-9.248083594960352,"(24, 227)","(10, 218)","(45, 197)","(31, 187)"
4,1.6494676730084588,0.6422678960541315,38.11129072339395,-0.7912488706208548,33.848529334269294,265.4621639013176,30,270,17.275023190023248,-2.9951747018517216,17.221591636491944,37.9934127067896,-1.3576478636788523,"(40, 285)","(23, 283)","(43, 247)","(26, 245)"
5,1.175598907185212,0.41729147999280847,34.06862456977944,-0.6729954251839363,29.34104388536969,331.3423499650457,30,330,17.38106568950768,13.116093364105033,16.0413431871066,31.442634669198114,6.691543413626611,"(43, 343)","(27, 350)","(30, 312)","(14, 318)"
6,1.8455728017318735,0.42326583897681996,37.89447866983037,-0.9190262123204289,28.461593994297992,382.64062822626295,30,390,15.116384285851701,-10.281977259929398,14.54930629771721,36.472900313582464,-4.1015558185584355,"(30, 402)","(16, 398)","(40, 366)","(26, 362)"
7,1.4549522478509773,0.5264123688541132,38.87548890423243,-0.7091452125425078,38.719991070301056,444.93434436394944,30,450,19.129253002247047,4.493429256663744,19.001040622147347,38.61492886253265,2.211057597504877,"(50, 463)","(31, 465)","(45, 424)","(26, 426)"
8,1.712207094274883,0.5704638572614723,32.10386778777212,-0.711814026230796,30.713369286082365,509.56053022045273,30,510,15.75507425771684,-4.524717194723712,15.597809438130318,31.783411730689387,-2.220519218098467,"(36, 526)","(20, 524)","(40, 494)","(25, 492)"
9,1.6426603050404582,0.5526865179784609,39.40419391380309,-0.5209537228113127,32.74250762454182,569.2271555477179,30,570,23.404271123208282,-2.8293053738633636,23.343862252063463,39.30248756882985,-1.6804767077611136,"(42, 589)","(19, 588)","(45, 550)","(22, 548)"
